stage,config_id,variant_id,family,description,implemented,infeasible_reason,core_identity_preserving,graft_source,system,tier,dim,seed,run,library,library_space,regressor,center_scheme,M,bandwidth_mult,bandwidth_rule,knn_k,local_poly_order,projection_normalization,projection_scales,prune_min_effective_samples,target_anchor,threshold_mode,threshold,stlsq_threshold,pseudo_blocks,l1_ratio_grid,adaptive_gamma,svd_rtol,ridge_floor,gls_weighting,gls_iterations,target_regression_kw,diffusion_parameterization,diffusion_shrinkage,rank1_project,R,n_steps,dt,subsample_k,T,bias_correct,noise_correct,status,pass_level,drift_pass_level,tensor_pass_level,score,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,oracle_drift_rel_l2,oracle_diffusion_rel_l2,oracle_a12_rel_l2,oracle_a12_cosine,oracle_ols_passes,oracle_headroom_drift,oracle_headroom_diffusion,oracle_headroom_a12,cond_design,rank_deficient_targets,mean_selected_terms,max_cv_folds,used_pseudo_blocks,mean_alpha,mean_l1_ratio,runtime_sec,error,selection_basis
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,spiral_sink_corr,2,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9764081149093345,0.08195662803208069,0.03896086667232531,0.1188514076425145,0.025806642377093122,0.013276548462902493,0.018055983713889837,0.0850669016525543,0.9999999999999997,1.0,1.0,0.07160502120518873,0.03896086667232531,0.0850669016525543,0.9999999999999997,True,0.010351606826891957,0.0,0.0,8.724429087981646,0,1.25,5,False,1.6295998509745264e-05,,23.130663554999046,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,indep_ou,1,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.937158136484427,0.05259074538033186,0.01721222118051427,0.05863899430354246,0.04598235314620616,0.018562206738247374,0.009752710607174865,,,,1.0,0.06507373800137009,0.01721222118051427,,,True,-0.012482992621038233,0.0,,7.810048994533799,0,0.75,5,False,0.0790792222777937,,23.255166940012714,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,correlated_ou,1,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.9215346809469815,0.3123297629386522,0.027506202739153038,0.0495942785668543,0.4629018776074686,0.004399059424533891,0.0018197783808866076,0.055009863534839436,1.0,1.0,1.0,0.07314826211482454,0.027506202739153038,0.055009863534839436,1.0,True,0.23918150082382766,0.0,0.0,13.116500355555461,0,1.25,5,False,3.0357622006338757e-05,,23.33089119999204,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,coupled_ou,1,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9310630664115714,0.05416893006721853,0.04291859769265345,0.03680085799049199,0.0659986961530906,0.005196386620327229,0.008944939216477956,,,,1.0,0.09747450028955786,0.04291859769265345,,,True,-0.04330557022233932,0.0,,13.558288850898967,0,1.75,5,False,3.7782518138224287e-05,,23.370493247988634,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,rotational_ou,2,2,9101,0,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9360233375501239,0.05898142360612597,0.01742567839780053,0.027339635141056483,0.0785061388058534,0.022481686143052463,0.010093677397877698,,,,1.0,0.07988863898129801,0.01742567839780053,,,True,-0.020907215375172046,0.0,,11.070458802223895,0,1.125,5,False,0.0790709617058935,,23.57906819600612,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,double_well_transverse,3,2,9101,0,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9117011418014419,0.16871883343203367,0.016606178967384394,0.25207836791301647,0.08153373972228987,0.022619411008465387,0.006316059327121196,,,,1.0,0.09556146740071617,0.016606178967384394,,,True,0.0731573660313175,0.0,,49.8844471054209,0,1.375,5,False,0.07906996434507794,,29.269911328010494,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,gradient_potential,3,2,9101,0,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.8938330507125465,0.2568797183502825,0.017750762449162297,0.2600738772834277,0.254213705501456,0.024098719860277687,0.007030706660716158,,,,1.0,0.15095608069075667,0.017750762449162297,,,True,0.10592363765952584,0.0,,42.06846109328056,0,1.125,5,False,0.07906956923098721,,29.58843378900201,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,nongradient_circulation,3,2,9101,0,B,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.8930982293902016,0.24499024717436318,0.034776852111735417,0.2395006121762425,0.25038299701708006,0.04918066674884733,0.0003477121537361837,,,,1.0,0.15285680411398705,0.034776852111735417,,,True,0.09213344306037613,0.0,,68.5222360640908,0,1.875,5,False,0.07907019043546312,,31.22900669599767,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,heston_logsv,5,2,9101,0,D,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,2600,0.003968253968253968,1,10.317460317460316,True,False,VALIDATED_POSITIVE,medium,medium,strong,0.9339386148907284,0.3162130733244675,0.05350607933717068,1.0,0.033257857060888164,0.03920062955960312,0.3087271445275566,0.10224909344951244,0.9964576401129307,1.0,1.0,0.4108253332488191,0.05350607933717068,0.10224909344951244,0.9964576401129307,True,-0.09461225992435157,0.0,0.0,12.943101335284855,0,2.25,5,False,0.03952850111858438,,25.752545549010392,,non_oracle_composite
v6_freeze,WG_SINDY_FROZEN,WG_SINDY_FROZEN,wg_sindy,WG-SINDy frozen v6 operating point: kmeans/cov/local-poly-2/adaptive-lasso/GLS/Cholesky/R16,True,,yes,v5.5 global default V5GREEDY_local_poly_order_2,indep_ou,1,2,9102,1,A,z,adaptive_lasso,kmeans,64,1.5,cov,50,2,row,1.0,,left,relative,,0.12,5,0.2;0.5;0.8;0.95,1.0,1e-08,1e-10,True,1,,chol,0.05,False,16,1600,0.01,1,16.0,True,False,VALIDATED_POSITIVE,strong,strong,strong,0.9333289620650107,0.05834133537471633,0.029792695240974738,0.0764266180706066,0.02296322600081819,0.020244851653426665,0.0016414699667152048,,,,1.0,0.09495670445679384,0.029792695240974738,,,True,-0.03661536908207751,0.0,,10.56150807729339,0,1.0,5,False,2.139497080808549e-05,,20.521728154999437,,non_oracle_composite
